x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,y50,x51,y51,x52,y52,x53,y53,x54,y54,x55,y55,x56,y56,x57,y57,x58,y58,x59,y59,x60,y60,x61,y61,x62,y62,x63,y63,x64,y64,x65,y65,x66,y66,x67,y67,x68,y68,x69,y69,x70,y70,x71,y71,x72,y72,x73,y73,x74,y74,x75,y75,x76,y76,x77,y77,x78,y78,x79,y79,x80,y80,x81,y81,x82,y82,x83,y83,x84,y84,x85,y85,x86,y86,x87,y87,x88,y88,x89,y89,x90,y90,x91,y91,x92,y92,x93,y93,x94,y94,x95,y95,x96,y96,x97,y97,x98,y98,x99,y99,x100,y100
8384.883969879009,6262.830153552276,1335.0697335073971,997.1891100868481,3342.234778904687,2496.3790588836778,91526.71102908083,68363.05043069836,1586.480613548698,1184.9727032898074,5228.969264109003,3905.617119676429,2942.7499788653904,2197.996223705577,7610.394703047561,5684.349312154946,1357.7270674970755,1014.1123060451233,0,0,3805.197800211192,2842.1749912106793,0,0,5933.35223882477,4431.734231081419,6328.087892590388,4726.569838105467,1523.870688216255,1138.2081529761388,9532.875518867977,7120.28699074391,0,0,0,0,2645.314313090033,1975.835838057845,2584.9736714027845,1930.7662590867903,667.5799205926983,498.62820661718877,345.34468229186723,257.9445460898424,15120.195643625648,11293.563219799078,57165.3006941297,42697.856071733375,0,0,9923.316477309525,7411.914807717131,4295.471476967695,3208.36977426477,24269.86818580331,18127.628580527788,2665.104685780858,1990.6176458065722,5198.709331955107,3883.015397789918,2014.8116848789427,1504.901370027114,10861.14325961396,8112.395562385211,2349.8574394527304,1755.1534500919347,3681.91157488004,2750.0901523154407,0,0,0,0,2012.794885004971,1503.39498364064,1344.1674391228535,1003.9843603564168,1781.276993193353,1330.469843694359,0,0,2502.8884386722307,1869.4552293154761,0,0,0,0,543.2751909527957,405.78262738024927,3153.3822781752165,2355.321515286047,13668.481163534792,10209.249918276711,0,0,0,0,0,0,14091.273231636836,10525.041397598807,1526.3516541479662,1140.0612338658532,15368.780544603287,11479.236035207523,1789.199677880451,1336.3874483664913,7715.455290731355,5762.821073822684,0,0,1272.169912368833,950.2080310528672,15226.202391555025,11372.741686644542,0,0,5549.022531938927,4144.671024740439,0,0,965.2466392638938,720.9611700904836,0,0,0,0,0,0,1274.7989113441874,952.1716806532261,0,0,5114.244479890935,3819.926984840721,6708.075417650368,5010.389785819506,2638.7863903546445,1970.9600077548719,2698.5036913920994,2015.5640016765108,2149.5444859750955,1605.535875216304,15471.39503248897,11555.880758167363,0,0,0,0,8034.632692576638,6001.220777836473,4073.239611260103,3042.380544761602,2238.02273516975,1671.6219712171996,5947.508127687103,4442.307535129017,5228.1437476414985,3905.000525643224,11170.059735166502,8343.131184365137,0,0,1842.0855042899423,1375.8888832727723,0,0,2601.0127478779627,1942.7461519684,7771.5311770343,5804.705225456368,0,0,11705.29101822672,8742.90566314333,3995.4482504934367,2984.2766900576503,0,0,1762.9370416449644,1316.771383228532,0,0,24950.435620842814,18635.95741000265,0,0,0,0,0,0,13964.244455701224,10430.161176100659,15766.867304987632,11776.574647837244,1654.126066358462,1235.4983853540518,1683.455939303847,1257.4054282352743,0,0
8568.187263097378,6484.093913726913,1359.074811911112,1028.4986130224634,3454.45301226067,2614.2049729148703,90886.64077849532,68779.71923525502,1607.7921696083285,1216.718904638706,5239.112106225826,3964.7703625272397,2971.5141824311922,2248.7343510615706,7647.865003252292,5787.627347288717,1385.474686417567,1048.47708225454,0,0,0,0,0,0,6008.8074841440275,4547.247958094986,6398.510407673191,4842.161021620114,1538.7659144497495,1164.4823337961461,9599.861260082298,7264.827443397928,0,0,0,0,2701.2110704178153,2044.1787420804249,2595.6452925218982,1964.2903833256096,677.0619582048267,512.3759772758423,346.7703786715598,262.4232679284619,15566.286858287705,11780.002324629799,58784.57371688094,44486.037122497335,0,0,10107.407295850959,7648.91990781427,4306.460718542405,3258.9735585109706,24645.46536208534,18650.795909133343,2689.8551772487754,2035.5850132645953,5233.42734892504,3960.4683440158333,2057.3856199510683,1556.9549505494251,10982.012159983096,8310.789204352624,2413.8322544729062,1826.7008585813169,3676.780384207376,2782.454278751517,0,0,0,0,2006.4140159701524,1518.3814860583984,1361.2613987913026,1030.1533428090945,1817.6806242191994,1375.5548881804475,0,0,2509.060959055126,1898.766494500957,0,0,0,0,546.722391957453,413.7397124194077,3166.7770090079766,2396.5021888207502,13805.566161231314,10447.552647120154,0,0,0,0,0,0,14389.028578277746,10889.09588037245,1555.5807494890541,1177.2071921810998,15507.916973926576,11735.830109398112,1810.7587759365365,1370.3166840022243,7717.902969726306,5840.629544626289,0,0,1276.7009699076848,966.1610716985076,15196.796867769797,11500.38567700834,0,0,5474.191990225905,4142.670307787484,0,0,971.2159545559712,734.981072014331,0,0,0,0,0,0,1294.5275257628007,979.6515637680151,0,0,4967.854493782449,3759.4924221778865,6955.315258574056,5263.530773937453,2670.582648336377,2021.0002611360762,2774.9419183620944,2099.9755784157455,2162.167971981011,1636.2504409724177,15496.332100272177,11727.063096441088,0,0,0,0,8078.2554386063775,6113.33124669169,4089.5775033573004,3094.8441934084985,2182.183647223868,1651.3975793385819,6177.749626577554,4675.0972550219085,5350.724744787164,4049.234766510044,11198.6364549729,8474.72262802537,0,0,1851.5697051202835,1401.200917668963,0,0,2646.3612195771575,2002.6703607759562,7888.375655211658,5969.637101122279,0,0,11236.64360375975,8503.485062197222,4118.363095315243,3116.6280872341404,0,0,1757.1280023946813,1329.7308562613982,0,0,25495.881095456745,19294.359747267503,0,0,0,0,0,0,14259.3156235181,10790.93381240377,15984.627215996734,12096.587161538098,1674.0575846247716,1266.8661716165498,1689.8236234783708,1278.7973390193092,0,0
8761.557117065393,6717.508929039337,1384.2013531365099,1061.2708249281209,3575.6569071705285,2741.465572862045,90249.46583599175,69194.50327082543,1629.896361596393,1249.6458353397938,5249.391957708018,4024.722646531337,3001.1296096852593,2300.9739799559197,7681.750033500124,5889.617992694091,1414.662416636157,1084.6254025805747,0,0,0,0,0,0,6086.956545811486,4666.885623278179,6471.214538940984,4961.497239160301,1554.1019375015187,1191.5340506620437,9668.44948132433,7412.825694448667,0,0,0,0,2760.0909603893165,2116.169012385109,2606.50874132411,1998.4171203267076,686.9119010701263,526.6571646168177,348.2217026508705,266.9824970137263,16044.165539337397,12301.1039966356,60515.130380760376,46397.10992501009,0,0,10300.319745292385,7897.2822908603275,4317.612256868334,3310.324694585478,25036.63498475664,19195.6540162958,2715.3131453972233,2081.8377436376413,5268.951016604562,4039.7186285269604,2102.231667066124,1611.786558683749,11106.79708691022,8515.610593809319,2482.052414573237,1902.9961266547002,3671.614601315796,2815.036589819218,0,0,0,0,2000.0130223154015,1533.415254399281,1378.9656273392118,1057.2565801627873,1855.97361665232,1422.9798625223457,0,0,2515.323479370428,1928.505139706553,0,0,0,0,550.2472275074199,421.8759992742332,3180.41578924391,2438.433166256582,13946.780205006437,10693.033134030366,0,0,0,0,0,0,14702.674716028374,11272.579447471786,1586.2473722093969,1216.1800401582977,15650.963323927625,11999.63482196247,1833.05760987091,1405.4100997375763,7720.375636516158,5919.232344307956,0,0,1281.3082257972412,982.3823930657004,15167.225070838422,11628.75142863101,0,0,5400.665482107633,4140.704456306038,0,0,977.317730557315,749.312079326621,0,0,0,0,0,0,1315.0740983817645,1008.2707765519581,0,0,4828.326678803746,3701.8907876556314,7224.121805023042,5538.753224034694,2703.4698996779994,2072.7574959368376,2856.6333201204593,2190.188293987612,2175.063498176255,1667.626915513433,15521.589367709204,11900.443468819358,0,0,0,0,8122.778585306641,6227.755745508726,4101.205865282965,3144.405343909281,2128.5675110438324,1631.9783196584576,6429.0117595900165,4929.140257024304,5480.450482902611,4201.875826655239,11227.635215622933,8608.257505511236,0,0,1861.2442062120615,1427.0208374262133,0,0,2693.7762414537165,2065.3253426327356,8009.956745334346,6141.2549435076335,0,0,10715.367861495763,8215.500775237564,4250.370997382404,3258.770643751661,0,0,1751.3021048869848,1342.7279386342784,0,0,26071.28107830354,19988.91990259124,0,0,0,0,0,0,14570.134331532568,11170.960385424618,16210.657911470293,12428.754137070257,1694.6729932436358,1299.3102495152036,1696.3012664844446,1300.5586508995584,0,0
8965.862810217877,6964.124497686821,1410.5319580639443,1095.6134810281094,3706.981563353022,2879.352680748059,89615.11652822429,69607.44789291506,1652.840097497049,1283.8233706431827,5259.812443525126,4085.4951125781467,3031.637063534676,2354.7870839821744,7716.2694630085825,5993.518118172606,1445.4078556552854,1122.7029087759752,0,0,0,0,0,0,6167.952827378437,4790.882070688191,6546.319034853968,5084.773403887518,1569.8998867079142,1219.4005743071002,9738.70400762218,7564.41946422715,0,0,0,0,2822.204387407116,2192.112809201406,2617.570120060835,2033.1656398706052,697.1524112150837,541.5046257490549,349.6994694721749,271.624794370468,16557.396973827217,12860.755994609479,62369.00265807696,48444.36151893934,0,0,10502.719896102422,8157.85947978522,4328.930616160585,3362.444015809989,25444.398960104696,19763.62630990069,2741.5114668981255,2129.4355681592915,5305.311617946097,4120.8360409323595,2149.540547498238,1669.6293822992197,11235.701852994,8727.194267791754,2554.9609673705654,1984.5347447455074,3666.4134623396967,2847.8419034729977,0,0,0,0,1993.5912998335843,1548.4977077414142,1397.3148774747283,1085.347275012291,1896.3102531394768,1472.9358421649113,0,0,2521.6784889348455,1958.6829858769934,0,0,0,0,553.8526385736751,430.19827651207225,3194.306459051179,2481.138551355659,14092.324390343974,10946.040954842478,0,0,0,0,0,0,15033.54551921801,11677.122977853362,1618.4628582103558,1257.1212696466712,15798.098560688444,12270.980220439904,1840.540481979159,1429.6173531595548,7722.8738743655895,5998.6480140786325,0,0,1285.9939923199781,998.8801362861813,15137.4832268125,11757.855323530932,0,0,5328.403547393633,4138.772415263357,0,0,983.5569248887199,763.965835801206,0,0,0,0,0,0,1336.4923058429467,1038.1040849168016,0,0,4695.179286071446,3646.923199616446,7517.469904970136,5839.102988076363,2737.5080156754498,2126.325936289467,2944.145869218657,2286.8293667423245,2188.241008058934,1699.6894926497098,15547.175079110006,12076.078468975027,0,0,0,0,8168.233934278398,6344.576004410517,4107.632350639274,3190.553289302752,2077.0401769204013,1613.3156044152802,6704.33376612257,5207.509417622746,5617.975575753217,4363.693953684135,11257.067782007418,8743.789992353657,0,0,1871.1155820423505,1453.366188924322,0,0,2743.406385619383,2130.9074231460527,8136.578648134662,6319.988147292779,0,0,10235.914762985809,7950.621849344514,4392.531428914222,3411.845170784792,0,0,1745.4588126717342,1355.7638271218636,0,0,26679.22223315846,20722.760214602782,0,0,0,0,0,0,14898.022429580442,11571.857072214965,16445.458650224038,12773.809268105202,1716.0098226008424,1332.8896835479616,1702.8922673060847,1322.7007825897765,0,0
9182.076639951201,7225.114271130565,1438.1575385988615,1131.6451565056707,3849.7616555911172,3029.2676666670072,88983.52424360611,70018.59776585222,1676.6740556590498,1319.3270022238612,5270.377311077773,4147.109615577454,3063.079988038044,2410.250295548146,7751.444085167811,6099.390309806236,1477.841757681413,1162.8715368632995,0,0,0,0,0,0,6251.961585493787,4919.490290178116,6623.951009479924,5212.198160232026,1586.1822590965305,1248.1215879802728,9810.692073599477,7719.75383021937,0,0,0,0,2887.830577325256,2272.351531684755,2628.835787296986,2068.555916928085,707.8080485738848,556.9539695106954,351.2045286205581,276.35282859450876,17110.10026704105,13463.449987118618,62876.22756192588,49475.51048484147,0,0,10715.342566830614,8431.597506255637,4340.420483815136,3415.3531069292876,25869.870520150565,20356.263404966863,2768.485079527924,2178.4419627339926,5342.542063173639,4203.894001145729,2199.5249344676254,1730.743449099987,11368.944629050658,8945.898330846827,2633.0648212526075,2071.883623152286,3661.176187287739,2880.8751393776884,0,0,0,0,1987.1482371069867,1563.630282098139,1416.34658715832,1114.4827407799803,1938.862077332783,1525.6352799038923,0,0,2528.1285659962796,1989.312276261903,0,0,0,0,557.5417151899069,438.7136767778729,3208.457191505314,2524.643471368339,14242.413044460438,11206.948686872875,0,0,0,0,0,0,15383.128390603744,12104.545064021111,1652.3503394011238,1300.1873635175778,15949.512696109385,12550.216722962406,1834.0538741355028,1443.1646935272308,7725.398282754548,6078.8956106114665,0,0,1290.7606738814686,1015.6627668405812,15107.567491150508,11887.714050158464,0,0,5257.368268409064,4136.87317086837,0,0,989.9387432652327,778.9545679013959,0,0,0,0,0,0,1358.8406217630009,1069.2329364552072,0,0,4567.974607436318,3594.40895785483,7838.907865086226,6168.2130640997475,2772.7613213253608,2181.8068154627354,3038.132466425442,2390.6198021967525,2201.710930424455,1732.4635469823768,15573.097747266866,12254.026533597638,0,0,0,0,8214.654783589456,6463.877599440137,4114.142405618813,3237.301339760751,2027.4780662508524,1595.364674602747,7007.370422369593,5513.899962615628,5618.714812403607,4421.206462150129,11286.94634335713,8881.376218104399,0,0,1881.1907092231497,1480.255324899863,0,0,2795.414805990301,2199.6321965569587,8268.572155450996,6506.303641845806,0,0,9793.411544966719,7706.156275011218,4546.075086557299,3577.1768493636555,0,0,1739.5975833296745,1368.839731815424,0,0,27322.597771624623,21499.373053062904,0,0,0,0,0,0,15244.45391191068,11995.426071190293,16689.569644585416,13132.54643219384,1738.1083948892124,1367.6679318974436,1709.600163200189,1345.235617324413,0,0
