s,d,n,p,k,seed,error_naive_med,error_elliptical_med,num_na
100,2,5000,low,medium,278,442.1646191156588,0.20480378697869694,5
100,3,5000,low,medium,278,507.1720008478477,0.20918676730548125,11
100,4,5000,low,medium,278,598.8037120654317,0.21568135982932224,13
100,5,5000,low,medium,278,739.8966375761181,0.22837498727634853,9
100,6,5000,low,medium,278,908.9611310689365,0.24298407369149277,14
100,7,5000,low,medium,278,767.6197101220623,0.24788825238501572,20
100,8,5000,low,medium,278,1021.3108007518108,0.28543042742962865,15
100,9,5000,low,medium,278,969.9945953950005,0.2708055016656307,20
100,10,5000,low,medium,278,843.81906878953,0.2732917548976326,31
100,11,5000,low,medium,278,1075.4175442826302,0.3035170962365843,23
100,12,5000,low,medium,278,967.974977635233,0.28368071511282733,25
100,13,5000,low,medium,278,898.2546919773769,0.30173596699121497,35
100,14,5000,low,medium,278,1264.2159577941059,0.3146511768456789,30
100,15,5000,low,medium,278,1111.970603720275,0.3151135696026308,30
100,16,5000,low,medium,278,1661.0763873576075,0.33650413014173575,23
100,17,5000,low,medium,278,1194.3323635145703,0.3444083192747652,38
100,18,5000,low,medium,278,1680.3527613496858,0.3518992113764294,24
100,19,5000,low,medium,278,1452.0913200338757,0.30427473882002654,24
100,20,5000,low,medium,278,1669.7767071957232,0.3410339750964547,31
100,21,5000,low,medium,278,1362.3649089362111,0.370577224640957,37
100,22,5000,low,medium,278,1788.9424440489918,0.33457662769015983,29
100,23,5000,low,medium,278,1805.4265424135158,0.35196621492712044,24
100,24,5000,low,medium,278,1508.9270101092816,0.3295916574399507,38
100,25,5000,low,medium,278,1634.0656019605972,0.3312512532275681,36
100,26,5000,low,medium,278,1705.6672201905765,0.362547942421115,35
100,27,5000,low,medium,278,1609.0947790216019,0.36968657157571827,37
100,28,5000,low,medium,278,1689.8916357285334,0.3846069512427632,44
100,29,5000,low,medium,278,1865.4301712538827,0.34900621268928284,38
100,30,5000,low,medium,278,1709.6375210977162,0.3640202363759313,42
