s,d,n,p,k,seed,error_naive_med,error_elliptical_med,num_na
100,2,5000,medium,medium,278,997.71253264058,0.22054486356087888,3
100,3,5000,medium,medium,278,1154.0824757339822,0.22143184234218394,9
100,4,5000,medium,medium,278,1363.6789783034992,0.23281501816342542,11
100,5,5000,medium,medium,278,1592.6648181058458,0.24364181861039624,6
100,6,5000,medium,medium,278,1976.7099793104073,0.2626824904583013,13
100,7,5000,medium,medium,278,1736.2101799682687,0.267271970487291,19
100,8,5000,medium,medium,278,2202.3732352315405,0.31067966818584225,15
100,9,5000,medium,medium,278,2180.8667855369536,0.2724432572107174,17
100,10,5000,medium,medium,278,1882.60193915269,0.29343958071518345,28
100,11,5000,medium,medium,278,2477.6806721499324,0.3236311128960692,20
100,12,5000,medium,medium,278,2159.796991883792,0.3003375368450252,24
100,13,5000,medium,medium,278,1973.577294918793,0.30158493038303735,31
100,14,5000,medium,medium,278,2738.712009123585,0.3363837869080437,29
100,15,5000,medium,medium,278,2496.497611261631,0.31441876995509777,25
100,16,5000,medium,medium,278,3597.5514337640197,0.3675634608424485,21
100,17,5000,medium,medium,278,2658.9128125259035,0.35503966730292996,36
100,18,5000,medium,medium,278,3789.2158691841487,0.37089204256579267,21
100,19,5000,medium,medium,278,3265.950775528512,0.3249511058605518,22
100,20,5000,medium,medium,278,3831.819229133871,0.3539242432004694,24
100,21,5000,medium,medium,278,3070.136637709237,0.37296168960453346,33
100,22,5000,medium,medium,278,3965.2469147658167,0.3553332882095779,24
100,23,5000,medium,medium,278,4051.800475016687,0.3704726162051416,20
100,24,5000,medium,medium,278,3410.696453113551,0.3453029365621826,36
100,25,5000,medium,medium,278,3597.7859071216863,0.34944513785668496,33
100,26,5000,medium,medium,278,3791.7754352141546,0.386244496972892,31
100,27,5000,medium,medium,278,3543.8742471649603,0.3874442377071239,33
100,28,5000,medium,medium,278,3876.8247033593934,0.39635749063235737,40
100,29,5000,medium,medium,278,4235.57157815922,0.3681656272989918,35
100,30,5000,medium,medium,278,3687.3478212428718,0.3758264383593656,40
