s,d,n,p,k,seed,error_med,num_na
100,2,5000,medium,small,278,0.22478494308882369,4
100,3,5000,medium,small,278,0.2688680982031361,4
100,4,5000,medium,small,278,0.2790824908974652,7
100,5,5000,medium,small,278,0.2868075079050193,8
100,6,5000,medium,small,278,0.2992933832343303,7
100,7,5000,medium,small,278,0.3134933879471302,9
100,8,5000,medium,small,278,0.355923475174445,14
100,9,5000,medium,small,278,0.3375194796643045,16
100,10,5000,medium,small,278,0.28930967877881025,22
100,11,5000,medium,small,278,0.30489855745062044,17
100,12,5000,medium,small,278,0.35768344296204135,28
100,13,5000,medium,small,278,0.3964008555444718,23
100,14,5000,medium,small,278,0.38478838046994523,15
100,15,5000,medium,small,278,0.33587700505253365,18
100,16,5000,medium,small,278,0.41046300730151863,17
100,17,5000,medium,small,278,0.4095291500686042,20
100,18,5000,medium,small,278,0.39060932535776893,18
100,19,5000,medium,small,278,0.4176525608623123,23
100,20,5000,medium,small,278,0.4011505599274532,19
100,21,5000,medium,small,278,0.40408841792423045,26
100,22,5000,medium,small,278,0.4468878709105953,18
100,23,5000,medium,small,278,0.4141114839176771,28
100,24,5000,medium,small,278,0.38595163236908564,32
100,25,5000,medium,small,278,0.37647491771777797,19
100,26,5000,medium,small,278,0.3947599920428199,36
100,27,5000,medium,small,278,0.4290436352125888,27
100,28,5000,medium,small,278,0.40216405717183257,32
100,29,5000,medium,small,278,0.39804543307852414,27
100,30,5000,medium,small,278,0.42185824409375994,27
