s,d,n,p,k,seed,error_naive_med,error_elliptical_med,num_na
100,2,1000,high,small,278,855.8966372898099,0.44708967628045304,7
100,3,1000,high,small,278,987.7364867930671,0.5145059016824448,10
100,4,1000,high,small,278,1124.40655609814,0.5178256844126227,11
100,5,1000,high,small,278,1401.203551890384,0.5446061109774719,14
100,6,1000,high,small,278,1435.6975155972782,0.5910516334720541,12
100,7,1000,high,small,278,1594.6897697684872,0.6186835866603745,22
100,8,1000,high,small,278,2164.143561708801,0.5639965964026901,15
100,9,1000,high,small,278,1707.941150782166,0.6288929881343941,21
100,10,1000,high,small,278,2063.0725069542386,0.6311748573124819,20
100,11,1000,high,small,278,2079.682917746784,0.7233266769196126,20
100,12,1000,high,small,278,2531.800592895143,0.6529239232050645,16
100,13,1000,high,small,278,2448.602960966601,0.6485507370965886,23
100,14,1000,high,small,278,2355.36595586817,0.7736924560571832,26
100,15,1000,high,small,278,2879.530136095469,0.8056779902814424,22
100,16,1000,high,small,278,3293.0868644797465,0.8343009435633436,20
100,17,1000,high,small,278,2422.9251809658567,0.7003717112105599,31
100,18,1000,high,small,278,2624.5894167829015,0.7868999330722102,22
100,19,1000,high,small,278,2611.524812716513,0.6734120841261504,21
100,20,1000,high,small,278,2797.9770252313638,0.7104664623633483,23
100,21,1000,high,small,278,2881.8909642791073,0.8530138458585039,29
100,22,1000,high,small,278,3463.651127250754,0.8740735887457727,27
100,23,1000,high,small,278,2960.8787396816033,0.8148680588161936,28
100,24,1000,high,small,278,2973.4327481583905,0.8451945307789899,31
100,25,1000,high,small,278,3609.875229466432,0.7642171292500077,27
100,26,1000,high,small,278,4066.9546541460104,0.8384056017034156,21
100,27,1000,high,small,278,3527.5081344007053,0.7984486428797769,35
100,28,1000,high,small,278,3212.345192483864,0.8407484700842518,34
100,29,1000,high,small,278,3518.563743425593,1.1530836589979976,38
100,30,1000,high,small,278,3573.124816726297,0.8267247972695828,33
