elliptical,depth
0.37459802693349664,0.23809616716408574
0.036419298744364795,0.18277247205038555
0.23110883464960041,0.1081567642016427
0.29819076764657115,0.05963989888985797
0.07664986860787142,0.05383259973395699
0.1591506651343087,0.29327026756254176
0.054602343323721964,0.2276687831498062
0.15625080669911745,0.07964535794865538
0.12189658663644246,0.05934309177149739
0.2170773205276901,0.22737686114956854
0.25347971106023154,0.14613483632001512
0.20322068543072325,0.736477464101033
0.034357748652399864,0.267487570239662
0.11951786719993669,0.10724549889309169
0.11645915387998515,0.44707895262321456
0.14069795778794464,0.14899300733696177
0.13770534593832576,0.2579811436261208
0.26168371034361104,0.31381518698562183
0.2546823967329332,0.06381940385704629
0.06754656663567023,0.10214310410689496
0.14235156540067412,0.18849018303666373
0.08608243134545968,0.106069597290835
0.19455941795146015,0.31681166552194223
0.261318462301564,0.12159602399120115
0.3000941710306908,0.12753569431727343
0.41916957657815623,0.35073004108934425
0.040884684719629125,0.18928314098016263
0.06833990559949121,0.06659299893653442
0.04288798902974939,0.13021235629737737
0.016013176975449208,0.19457952914893145
0.0470854955615106,0.15644014025978198
0.049192138619882066,0.10702307615392202
0.31713180760351467,0.3231403696833939
0.1434949813176434,0.12582301850298472
0.11629556704601768,0.14204633978693246
0.013289701505075694,0.07958360989503784
0.1087596625472563,0.2343011438651277
0.402859721685028,0.5291658097861935
0.0697324259229852,0.049672883030635794
0.38309130388203655,0.2460966714865927
0.20822261822699764,0.1197289836984925
0.03573616742867765,0.10589124060395733
0.22229029038530554,0.2591138361407331
0.15027927148299766,0.1306261230541716
0.21354135327733503,0.08486036693866446
0.02144568301653475,0.15167597293658205
0.1991985378142109,0.2903608168364285
0.16626349184845296,0.0405877864763132
0.010368278839866586,0.246723932722215
0.15662179077218463,0.2822615135624485
0.28710443549267006,0.1005843939197828
0.12044831194045194,0.037274637161684936
0.21100590666485652,0.15707270163226136
0.10396499643423653,0.19845799392432326
0.15319563099208972,0.18687192294492688
0.1274557408256843,0.2561374925798938
0.23165792959120082,0.08013918574238262
0.2928416902148874,0.2773134590431359
0.24422974824493335,0.37490064749173757
0.35092344523488495,0.09647320290251853
0.12242201650148028,0.06746870228013037
0.4768834601934084,0.909147523727143
0.06154801040105522,0.12623540110664405
0.11345295429435653,0.10064049576889621
0.02841486167054225,0.19188033794424647
0.1304736621581609,0.35491416186687996
0.013558261089487399,0.211644743250667
0.3346616474639402,0.26346822881728504
0.09889559025194913,0.0720467795990935
0.022812090686105572,0.3929548070864226
0.041823863736795884,0.14146908300088104
0.05383894715109788,0.1619951881301598
0.43692669907000875,0.5955094005219398
0.031207871867814256,0.03860264241294459
0.03710740106055815,0.16358904801114119
0.03210173053744113,0.174677205264985
0.11447963862922941,0.04503614483593095
0.13714090833566445,0.11519519396499446
0.23274026826812338,0.3147471983776173
0.20563637272051752,0.06224691733094354
0.20263685676409024,0.20706346796983383
0.09069406929514705,0.13476240159335184
0.1517690515223101,0.10473707677507231
0.17066165144332524,0.5666059750320851
0.17795034789842895,0.07832307059828286
0.12789411276678073,0.4805203994971111
0.12951107360702457,0.055158252562240176
0.17721254570634393,0.4520498794185418
0.1293858289006436,0.11409316940693705
0.11933679128482556,0.14629101410313253
0.19438248674962094,0.16028210533092976
0.16577897817414528,0.06455056373150332
0.2633514153080482,0.10617317918416656
0.11252249895817913,0.1692337034586462
0.14673683409368624,0.23429957759932418
0.29340766324761325,0.0883817205364644
0.21326327036974446,0.15151165289646268
0.01565194045841965,0.22658108639941957
0.07500102106301104,0.10394162044867553
0.11631778454388633,0.15984090524111086
