x,y
26972.476959411026,19299.882789133302
27093.3288051951,19472.032784912557
27213.10891034668,19643.41251842973
27331.812536680703,19814.01521035455
27449.43498859479,19983.834112094475
27565.971613254944,20152.862506061614
27681.417800779644,20321.0937059385
27795.768984422193,20488.521056942547
27909.02064075135,20655.137936089326
28021.168289830275,20820.93775245452
28132.20749539374,20985.91394743467
28242.133865023636,21150.059995006606
28350.943050322683,21313.3694019856
28458.63074708649,21475.835708282215
28565.192695473783,21637.45248715786
28670.624680174922,21798.213345479013
28774.92253057866,21958.11192397009
28878.082120937102,22117.141897465044
28980.09937052893,22275.296975157547
29080.970243820804,22432.57090084983
29180.69075062701,22588.957453200193
29279.256946267295,22744.45044596906
29376.664931722917,22899.04372826374
29472.910853790872,23052.7311847817
29567.99090523632,23205.50673605249
29661.901324943185,23357.364338678228
29754.63839806294,23508.29798557266
29846.198456161554,23658.30170619878
29936.577877364605,23807.369566805017
30025.773086500554,23955.495670659948
30113.780555242174,24102.67415828557
30200.596802246106,24248.89920768907
30286.21839329058,24394.16503459316
30370.64194141127,24538.465892664826
30453.864107035275,24681.796073742706
30535.88159811321,24824.149908062856
30616.69117024943,24965.52176448302
30696.28962683039,25105.906050705416
30774.67381915108,25245.297213497917
30851.840646539586,25383.68973891376
30927.787056479712,25521.078152509617
31002.510044731804,25657.4570195622
31076.006655451503,25792.82094528321
31148.27398130673,25927.164575032744
31219.309163592676,26060.482594531124
31289.10939234487,26192.76973006911
31357.67190645035,26324.02074871651
31424.99399375688,26454.230458529175
31491.07299118025,26583.393708754407
31555.906284809585,26711.505390034676
31619.491310010788,26838.560434609735
31681.825551527952,26964.55381651713
31742.90654358288,27089.480551790948
31802.731869972627,27213.33569865903
31861.29916416506,27336.114357738414
31918.606109392473,27457.811672229152
31974.650438743265,27578.42282810645
32029.429935251574,27697.943054311087
32082.942431984986,27816.36762293811
32135.185812130272,27933.691849423936
32186.158009077084,28049.91109273157
32235.85700649976,28165.02075553428
32284.280838437026,28279.01628439738
32331.427589369807,28391.893169958406
32377.295394296973,28503.64694710545
32421.882438809134,28614.273195153834
32465.186959160405,28723.76753802094
32507.207242338165,28832.125644399348
32547.941626130843,28939.34322792814
32587.38849919364,29045.416047362494
32625.546301112292,29150.33990674142
32662.413522464798,29254.110655553763
32697.988704881114,29356.724188902386
32732.27044110084,29458.176447666545
32765.25737502891,29558.46341866243
32796.948201789215,29657.581134801978
32827.34166777623,29755.525675249744
32856.43657070461,29852.293165578027
32884.2317596567,29947.87977792012
32910.72613512816,30042.28173112173
32935.91864907136,30135.49529089056
32959.808304936894,30227.51676994403
32982.39415771297,30318.342528155124
33003.67531396284,30407.968972696384
33023.65093186007,30496.392558182044
33042.32022122191,30583.60978680827
33059.6824435405,30669.61720849151
33075.73691201213,30754.411421005003
33090.482991564364,30837.98907011334
33103.92009888118,30920.346849705144
33116.04770242605,31001.48150192386
33126.86532246297,31081.389817296626
33136.37253107541,31160.068634861236
33144.56895218329,31237.514842291173
33151.454261557796,31313.725376018723
33157.02818683424,31388.69722135617
33161.29050752286,31462.42741261504
33164.24105501748,31534.91303322342
33165.87971260222,31606.151215841324
33166.20641545611,31676.139142474138
33165.221150655634,31744.87404458406
33162.9239571753,31812.353203199647
33159.31492588599,31878.573949023354
33154.39419955148,31943.533662537113
33148.16197282273,32007.229774105996
33140.61849223019,32069.659764079806
33131.764056174055,32130.821162892797
33121.599014912455,32190.711551161337
33110.12377054762,32249.328559779613
33097.33877700996,32306.669870013364
33083.24454004009,32362.73321359159
33067.84161716886,32417.51637279627
33051.13061769527,32471.01718055012
33033.112202662385,32523.233520502275
33013.787084831194,32574.16332711205
32993.15602865238,32623.804585730613
32971.21985023611,32672.155332680686
32947.97941731977,32719.21365533425
32923.43564923357,32764.977692188164
32897.58951686425,32809.44563293784
32870.44204261665,32852.6157185488
32841.99430037324,32894.48624132632
32812.24741545169,32935.055544982955
32781.2025645603,32974.322024704044
32748.860975751508,33012.28412721121
32715.22392837326,33048.94035082379
32680.292753018442,33084.28924551827
32644.06883147222,33118.32941298558
32606.55359665741,33151.05950668649
32567.748532577738,33182.4782319048
32527.655174259206,33212.58434579863
32486.275107689336,33241.37665744949
32443.609969754412,33268.854027909474
32399.661448174782,33295.01537024627
32354.43128143804,33319.859649586186
32307.921258730297,33343.385883155046
32260.13321986539,33365.59314031709
32211.0690552121,33386.48054261181
32160.730705619375,33406.04726378864
32109.120162339575,33424.29252983971
32056.239466949668,33441.21561903041
32002.090711270503,33456.81586192796
31946.676037284044,33471.0926414279
31889.99763704864,33484.045392778484
31832.057752612323,33495.67360360302
31772.858675924123,33505.97681392018
31712.40274874337,33514.95461616211
31650.692362547106,33522.60665519065
31587.72995843546,33528.93262831131
31523.518027035076,33533.93228528527
31458.059108400612,33537.6054283393
31391.35579191425,33539.95191217354
31323.410716183273,33540.971643967285
